site,habitat,lat,lon,plot,treatment,Pmaj,Toff,Cbp,Salb,Tarv,Gtet,Hpep
1,T,58.74666667,-93.84277778,1,5,,,,,2,,
1,T,58.74666667,-93.84277778,2,20,,,,,,3,
1,T,58.74666667,-93.84277778,3,0,,,,,,,
2,T,58.74194444,-93.82527778,1,5,,,,,7,,
2,T,58.74194444,-93.82527778,2,0,,,,,,,
2,T,58.74194444,-93.82527778,3,20,,,,,7,,
3,T,58.73194444,-93.81638889,1,0,,,,,,,
3,T,58.73194444,-93.81638889,2,20,1,,,,10,,
3,T,58.73194444,-93.81638889,3,5,,,,,5,,
4,T,58.73166667,-93.81388889,1,5,,,,,6,,
4,T,58.73166667,-93.81388889,2,20,,,,,12,,
4,T,58.73166667,-93.81388889,3,0,,,,,,,
5,T,58.73333333,-93.80472222,1,5,,,,,,,
5,T,58.73333333,-93.80472222,2,0,,,,,,,
5,T,58.73333333,-93.80472222,3,20,,,,,3,,
6,T,58.73277778,-93.79888889,1,0,,,,,,,
6,T,58.73277778,-93.79888889,2,20,,,,,8,2,
6,T,58.73277778,-93.79888889,3,5,,,,,13,,
7,T,58.73222222,-93.79583333,1,5,,1,,,,1,
7,T,58.73222222,-93.79583333,2,0,,,,,,,
7,T,58.73222222,-93.79583333,3,20,,,,,4,,
8,T,58.73444444,-93.79027778,1,20,,,,,,,
8,T,58.73444444,-93.79027778,2,5,,,,,3,,
8,T,58.73444444,-93.79027778,3,0,,,,,,,
9,B,58.70638889,-93.84194444,1,0,,,,,,,
9,B,58.70638889,-93.84194444,2,5,,,,,3,,
9,B,58.70638889,-93.84194444,3,20,,,,,7,,
10,B,58.69888889,-93.84972222,1,20,,,3,,1,,
10,B,58.69888889,-93.84972222,2,5,,,,,7,,
10,B,58.69888889,-93.84972222,3,0,,,,,,,
11,B,58.69833333,-93.84916667,1,0,,,,,,,
11,B,58.69833333,-93.84916667,2,20,,,,,10,,
11,B,58.69833333,-93.84916667,3,5,,,,,3,,
12,B,58.69527778,-93.85194444,1,5,,,,,,1,
12,B,58.69527778,-93.85194444,2,0,,,,,,,
12,B,58.69527778,-93.85194444,3,20,,,,,3,,
13,B,58.69527778,-93.85166667,1,0,,,,,,,
13,B,58.69527778,-93.85166667,2,20,,,,,6,,
13,B,58.69527778,-93.85166667,3,5,,,,,,,
14,B,58.68666667,-93.84833333,1,20,,1,,,6,,
14,B,58.68666667,-93.84833333,2,0,,,,,,,
14,B,58.68666667,-93.84833333,3,5,,,,,3,,
15,B,58.68694444,-93.84833333,1,0,,,,,,,
15,B,58.68694444,-93.84833333,2,5,,,,,9,,
15,B,58.68694444,-93.84833333,3,20,,,,,6,,
16,B,58.67861111,-93.84361111,1,5,,,,,1,,
16,B,58.67861111,-93.84361111,2,20,,,,,8,,
16,B,58.67861111,-93.84361111,3,0,,,,,,,